,,,,,,,,,,,,
Unidade Solicitante,Nº Requisição SIPAC,Código SIPAC,CATMAT / CATSER,Classificação Item,Grupo Agenda,Denominação,Descrição Detalhada,Unidade Fornecimento,Grupo de Material,Qtde.,Valor Unitário,Valor Total
,1282,3042000000003,215464,Específico,,ALICATE UNIVERSAL,"ALICATE UNIVERSAL, MATERIAL FORJADO EM AÇO CROMO VANÁDIO, TIPO PROFISSIONAL, MATERIAL CABO PLÁSTICO, TIPO CABO ISOLADO, TIPO CORTE CORTE TEMPERADO POR INDUÇÃO, COMPRIMENTO 215, PESO 400",UNIDADE,3042 - FERRAMENTAS,6,"R$ 15,00","R$ 90,00"
,1282,3042000000020,244867,Específico,,ALICATE BICO,"ALICATE BICO, MATERIAL AÇO CROMO VANÁDIO, TIPO FINO E CURVO, TIPO CABO ISOLADO, COMPRIMENTO 150, APLICAÇÃO MANUTENÇÃO EQUIPAMENTOS ELETRÔNICOS",UNIDADE,3042 - FERRAMENTAS,88,"R$ 17,00","R$ 1.496,00"
,1282,3042000000021,240742,Específico,,ALICATE DE CORTE,"ALICATE DE CORTE, MATERIAL FORJADO EM AÇO CROMO VANÁDIO, TIPO CORTE DIAGONAL, MATERIAL CABO PLÁSTICO, TIPO CABO ISOLADO, USO INDUSTRIAL, TIPO PROFISSIONAL, COMPRIMENTO 120",UNIDADE,3042 - FERRAMENTAS,4,"R$ 19,00","R$ 76,00"
,1282,3042000000038,68934,Específico,,ALICATE DESENCAPADOR DE FIOS,"Alicate desencapador de fios, Material Aço Para fios entre 10 e 24 AWG
Corpo construído em aço carbono com grande durabilidade e sistema de antiferrugem. Lâminas fabricadas em aço sinterizado que garantem maior resistência com dureza entre 52 - 57 HRC. Cabos com dupla injeção.",UNIDADE,3042 - FERRAMENTAS,2,"R$ 130,00","R$ 260,00"
,1327,5234000000137,435128,Específico,,CARRINHO DE TANSPORTE,"CARRINHO TRANSPORTE, MATERIAL: FERRO, TRATAMENTO SUPERFICIAL: PINTURA ESMALTADA, CAPACIDADE: 300 KG, ALTURA: 100 CM, LARGURA: 123 CM, QUANTIDADE RODAS: 2 FIXAS E 2 GIRATÓRIAS, MATERIAL RODAS: BORRACHA TERMOPLÁSTICA, TIPO: 2 BANDEJAS, CARACTERÍSTICAS ADICIONAIS: PNEU MACIÇO, APLICAÇÃO: TRANSPORTE DE PROCESSOS E DOCUMENTOS",UNIDADE,"5234 - MAQUINAS, UTENSILIOS E EQUIPAMENTOS DIVERSOS",1,"R$ 1.000,00","R$ 1.000,00"
,1282,3042000000003,215464,Específico,,ALICATE UNIVERSAL,"ALICATE UNIVERSAL, MATERIAL FORJADO EM AÇO CROMO VANÁDIO, TIPO PROFISSIONAL, MATERIAL CABO PLÁSTICO, TIPO CABO ISOLADO, TIPO CORTE CORTE TEMPERADO POR INDUÇÃO, COMPRIMENTO 215, PESO 400",UNIDADE,3042 - FERRAMENTAS,6,"R$ 15,00","R$ 90,00"
,1282,3042000000020,244867,Específico,,ALICATE BICO,"ALICATE BICO, MATERIAL AÇO CROMO VANÁDIO, TIPO FINO E CURVO, TIPO CABO ISOLADO, COMPRIMENTO 150, APLICAÇÃO MANUTENÇÃO EQUIPAMENTOS ELETRÔNICOS",UNIDADE,3042 - FERRAMENTAS,88,"R$ 17,00","R$ 1.496,00"
,1282,3042000000021,240742,Específico,,ALICATE DE CORTE,"ALICATE DE CORTE, MATERIAL FORJADO EM AÇO CROMO VANÁDIO, TIPO CORTE DIAGONAL, MATERIAL CABO PLÁSTICO, TIPO CABO ISOLADO, USO INDUSTRIAL, TIPO PROFISSIONAL, COMPRIMENTO 120",UNIDADE,3042 - FERRAMENTAS,4,"R$ 19,00","R$ 76,00"
,1282,3042000000038,68934,Específico,,ALICATE DESENCAPADOR DE FIOS,"Alicate desencapador de fios, Material Aço Para fios entre 10 e 24 AWG
Corpo construído em aço carbono com grande durabilidade e sistema de antiferrugem. Lâminas fabricadas em aço sinterizado que garantem maior resistência com dureza entre 52 - 57 HRC. Cabos com dupla injeção.",UNIDADE,3042 - FERRAMENTAS,2,"R$ 130,00","R$ 260,00"
,1327,5234000000137,435128,Específico,,CARRINHO DE TANSPORTE,"CARRINHO TRANSPORTE, MATERIAL: FERRO, TRATAMENTO SUPERFICIAL: PINTURA ESMALTADA, CAPACIDADE: 300 KG, ALTURA: 100 CM, LARGURA: 123 CM, QUANTIDADE RODAS: 2 FIXAS E 2 GIRATÓRIAS, MATERIAL RODAS: BORRACHA TERMOPLÁSTICA, TIPO: 2 BANDEJAS, CARACTERÍSTICAS ADICIONAIS: PNEU MACIÇO, APLICAÇÃO: TRANSPORTE DE PROCESSOS E DOCUMENTOS",UNIDADE,"5234 - MAQUINAS, UTENSILIOS E EQUIPAMENTOS DIVERSOS",1,"R$ 1.000,00","R$ 1.000,00"
