,,PLANILHA PARA LEVANTAMENTO DE ITENS PARA COMPOR O PCA 2024 - PLANO DE CONTRATAÇÕES ANUAL IGE/UNIFESSPA,,,,,,,,
,,,,,ORÇAMENTO A CONSIDERAR - CUSTEIO ,,,"12.281,67",,
,,,,,ORÇAMENTO A CONSIDERAR - CAPITAL ,,,"3.240,00",,
,,,,,TOTAL DE ORÇAMENTO P/ PCA 2024,,,"15.521,67",,
,,,,,"Obs.: conforme instrução da DCO, os valores de orçamento para planejamento devem ser próximos ao valor médio disponibilizado nos últimos 05 anos - Reunião g. meet dia 21/03/2022",,,,,
Item,Código SIPAC,CATMAT / CATSER,Classificação Item,Denominação,Descrição Detalhada,Unidade Fornecimento,GRUPO DE MATERIAL,VALOR UNITÁRIO,Qtde.,TOTAL
1,3007000000001,445485,Agenda,ÁGUA MINERAL NATURAL 20 LITROS,"AGUA MINERAL, envasada em garrafão de 20 litros, material polipropileno, com validade mínima de 18 meses, lacrados, dentro dos padrões estabelecidos pelo Departamento Nacional de Produção Mineral - DNPM e Agência Nacional de Vigilância Sanitária - ANVISA,  com marca, procedência e validade impressas na embalagem do produto.",GAR.,3007 - GENEROS DE ALIMENTACAO,"R$ 4,84",12,"R$ 58,08"
2,3007000000002,463594,Agenda,CAFE MOIDO VACUO,"Café, tipo torrado, apresentação moído, tipo embalagem alto vácuo, com selo de pureza e com nota de qualidade global igual ou superior a 5,0 pontos (resolução SAA Nº 19, DE 05/04/2010.).",PACOTE,3007 - GENEROS DE ALIMENTACAO,"R$ 8,25",0,"R$ 0,00"
3,3007000000003,463988,Agenda,ACUCAR CRISTAL - 2 KG,"Açucar cristal, primeira qualidade, embalagem de 2 KG. composição origem vegetal, sacarosi de cana de açúcar",UNIDADE,3007 - GENEROS DE ALIMENTACAO,"R$ 3,86",0,"R$ 0,00"
4,3007000000006,229112,Agenda,GARRAFÃO 20 LITROS,"Vasilhame para acondicionamento de agua mineral, garrafão de 20, material polipropileno, retornável. novo. validade mínima de 2 anos",GALÃO,3007 - GENEROS DE ALIMENTACAO,"R$ 10,00",0,"R$ 0,00"
5,3016000000092,245846,Agenda,AGENDA PERMANENTE,"AGENDA, TIPO PERMANENTE, REVESTIMENTO CAPA CURVIM, QUANTIDADE FOLHAS 386, GRAMATURA 56, COMPRIMENTO 200, TIPO ENCADERNAÇÃO COSTURADA E COLADA, LARGURA 148, TIPO PAPEL MIOLO APERGAMINHADO, CARACTERÍSTICAS ADICIONAIS SEM INDICAÇÃO DO ANO CIVIL",UNIDADE,3016 - MATERIAL DE EXPEDIENTE,"R$ 5,00",0,"R$ 0,00"
